conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text
1988088340177207610,Tue Nov 11 03:36:11 +0000 2025,1,80 Daftar HP Harga Under 3 Juta Terbaru di 11.11 Ada Smartphone 1 Jutaan Spek Gahar https://t.co/hUlaNUXrYO lewat @tribunshopping_,1988088340177207610,,,in,,0,0,0,https://x.com/undefined/status/1988088340177207610,124171593,,daftar hp harga under juta terbaru di ada smartphone jutaan spek gahar lewat
1987918191289368725,Mon Nov 10 16:23:11 +0000 2025,1,@tanyakanrl Oott ada yg busa dititipin? Butuh pencerahan soal spesifikasi hp samsung vs ip,1987918971862123001,,tanyakanrl,in,,1,1,0,https://x.com/undefined/status/1987918971862123001,1618591401209651201,,oott ada yg busa dititipin butuh pencerahan soal spesifikasi hp samsung vs ip
1987887965193019829,Mon Nov 10 14:19:58 +0000 2025,1,Selamat malam Chii selalu open joki ya #zonauang #jokitugas #jokiskripsi Skripsi Disertasi Tesis Proposal Makalah Jurnal/Artikel SPSS Smartpls Excel Origin Eviews Unity AR Coding Java Pyhton Matlab C++ Android Website Naive Laporan Latar Belakang Tipus Review/pinch,1987887965193019829,,,in,,0,0,0,https://x.com/undefined/status/1987887965193019829,1399249889435873280,,selamat malam chii selalu open joki ya zonauang jokitugas jokiskripsi skripsi disertasi tesis proposal makalah jurnal artikel spss smartpls excel origin eviews unity ar coding java pyhton matlab c android website naive laporan latar belakang tipus review pinch
1987836102963835048,Mon Nov 10 10:53:53 +0000 2025,110,Bini save nama laki di hp 'K' Laki save nama bini di hp 'Amanda Gabriela' Jd inget vt endorse ada iMess di screen HP dari 'K' ternyata tebakan kita dgn sobat ambyar bener dr bojone @amandamanopo Spek intel mmg Sarimin &amp; terjawab tudey kukukuk gak halu ya #MandaCurhat https://t.co/gMf6UfVNg9,1987836102963835048,https://pbs.twimg.com/ext_tw_video_thumb/1987835951662735360/pu/img/SU-wG_xWWdo-OQRx.jpg,,in,,0,5,18,https://x.com/undefined/status/1987836102963835048,1386867084513083397,,bini save nama laki di hp k laki save nama bini di hp amanda gabriela jd inget vt endorse ada imess di screen hp dari k ternyata tebakan kita dgn sobat ambyar bener dr bojone spek intel mmg sarimin amp terjawab tudey kukukuk gak halu ya mandacurhat
1987735938232131888,Mon Nov 10 10:19:34 +0000 2025,138,@nicsap Ini ya hp nya yg di pegang bang niscap spesifikasi dan harganya mantep banget https://t.co/fo5vEAHb3t,1987827463989448834,,nicsap,in,,0,0,134,https://x.com/undefined/status/1987827463989448834,223939386,,ini ya hp nya yg di pegang bang niscap spesifikasi dan harganya mantep banget
1987774886408773965,Mon Nov 10 06:50:38 +0000 2025,195, mau minta review dong pengguna samsung A55 dan A56. kameranya gimana? mau liat hasil foto dan video. juga kapasitas batre dan memo. kalau mau tambahin info lain juga boleh,1987774886408773965,,,in,,3,55,18,https://x.com/undefined/status/1987774886408773965,1331650559518990336,,mau minta review dong pengguna samsung a dan a kameranya gimana mau liat hasil foto dan video juga kapasitas batre dan memo kalau mau tambahin info lain juga boleh
1987257610932805640,Mon Nov 10 05:18:54 +0000 2025,0,@anakcucuadam144 @tanyarlfes ka maaf kalo buat spesifikasi hp aku kurta kurang tau. aku nyaranin 13x karena harganya kebetulan abis beliin itu jg buat keponakan. keponakan ku kepake buat yt sama game doang jd butuh yg ram nya gede. harga ga sampe 1 3 udah dpt 8/256 worth bgt menurut ku,1987751801794519457,,anakcucuadam144,in,,0,1,0,https://x.com/undefined/status/1987751801794519457,2498987160,,ka maaf kalo buat spesifikasi hp aku kurta kurang tau aku nyaranin x karena harganya kebetulan abis beliin itu jg buat keponakan keponakan ku kepake buat yt sama game doang jd butuh yg ram nya gede harga ga sampe udah dpt worth bgt menurut ku
1987710752581640644,Mon Nov 10 02:35:47 +0000 2025,88,Siri Honor 500 dah diperlihatkan. Rekaan bonggol kameranya seakan iPhone Air dan Pixel 10. Jangkaan spesifikasi 500 | 500 Pro - Snapdragon 8s Gen 3 | 8 Elite - Skrin 6.55″ OLED 120Hz - Kamera 200+50MP | 200+50+64MP - Swafoto 50MP - IP69 - Bateri 8000mAh 80W Menarik tak? https://t.co/vxoD5fjKfE,1987710752581640644,https://pbs.twimg.com/media/G5XEZFYb0AAFGvE.jpg,,in,,1,2,18,https://x.com/undefined/status/1987710752581640644,833703860141162496,,siri honor dah diperlihatkan rekaan bonggol kameranya seakan iphone air dan pixel jangkaan spesifikasi pro snapdragon s gen elite skrin oled hz kamera mp mp swafoto mp ip bateri mah w menarik tak
1987627538164731955,Sun Nov 09 21:05:08 +0000 2025,300, butuh saran terutama user hp s24 / ip 15 basic baru pertama kali mau invest ke hp kebutuhan konten kayak jualan review produk &amp; gaming better ambil mana ya? dr segi ketahanan kualitas kamera stlh update software dll aku liat review 22nya bagus tergantung cahaya https://t.co/Qg92YOJKpo,1987627538164731955,https://pbs.twimg.com/media/G5V4tkFW4AABhYX.jpg,,in,,5,70,8,https://x.com/undefined/status/1987627538164731955,1331650559518990336,,butuh saran terutama user hp s ip basic baru pertama kali mau invest ke hp kebutuhan konten kayak jualan review produk amp gaming better ambil mana ya dr segi ketahanan kualitas kamera stlh update software dll aku liat review nya bagus tergantung cahaya
1987569109509488884,Sun Nov 09 17:12:57 +0000 2025,3,Kate tuku iphone 13 tapi ndelok android sing harga e sama spek e luwih gacor Kate tuku iphone 15 tapi ndelok android sing harga e sama spek e luwih gacor Kate tuku iphone 16 tapi ndelok android sing harga e sama spek e luwih gacor Byuhhhh sek kate padahal duit rung onok wkwkwk,1987569109509488884,,,in,,0,1,0,https://x.com/undefined/status/1987569109509488884,1469368097555419137,,kate tuku iphone tapi ndelok android sing harga e sama spek e luwih gacor kate tuku iphone tapi ndelok android sing harga e sama spek e luwih gacor kate tuku iphone tapi ndelok android sing harga e sama spek e luwih gacor byuhhhh sek kate padahal duit rung onok wkwkwk
